country,discipline,url
LTU,sailing-laser-radial-women-medal-race.js,https://www.rio2016.com/en/sailing-laser-radial-women-medal-race
ARM,wrestling-mfs-125-kg-bronze.js,https://www.rio2016.com/en/wrestling-mfs-125-kg-bronze
CHN,shooting-25m-pistol-womens-bronze-medal-match.js,https://www.rio2016.com/en/shooting-25m-pistol-womens-bronze-medal-match
COL,cycling-track-mens-omnium-points-race-6-6.js,https://www.rio2016.com/en/cycling-track-mens-omnium-points-race-6-6
USA,athletics-womens-high-jump-final.js,https://www.rio2016.com/en/athletics-womens-high-jump-final
POR,canoe-sprint-mens-kayak-double-1000m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-kayak-double-1000m-final-a
FRA,modern-pentathlon-mens-combined-running-shooting.js,https://www.rio2016.com/en/modern-pentathlon-mens-combined-running-shooting
CHN,swimming-womens-100m-breaststroke-final.js,https://www.rio2016.com/en/swimming-womens-100m-breaststroke-final
FRA,fencing-womens-sabre-indiv-bronze-medal-bout.js,https://www.rio2016.com/en/fencing-womens-sabre-indiv-bronze-medal-bout
CRO,wrestling-mgr-75-kg-bronze.js,https://www.rio2016.com/en/wrestling-mgr-75-kg-bronze
GBR,swimming-womens-400m-individual-medley-final.js,https://www.rio2016.com/en/swimming-womens-400m-individual-medley-final
SUI,equestrian-jumping-individual-jump-off.js,https://www.rio2016.com/en/equestrian-jumping-individual-jump-off
SRB,rowing-mens-pair-final-a.js,https://www.rio2016.com/en/rowing-mens-pair-final-a
RUS,swimming-mens-4-x-100m-medley-relay-final.js,https://www.rio2016.com/en/swimming-mens-4-x-100m-medley-relay-final
CAN,judo-men-66-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-men-66-kg-contest-for-bronze-medal-b
USA,equestrian-dressage-individual-grand-prix-freestyle.js,https://www.rio2016.com/en/equestrian-dressage-individual-grand-prix-freestyle
CAN,athletics-mens-5000m-final.js,https://www.rio2016.com/en/athletics-mens-5000m-final
MAR,taekwondo-women-67kg-bronze-medal-contests-tk-3.js,https://www.rio2016.com/en/taekwondo-women-67kg-bronze-medal-contests-tk-3
TTO,rowing-womens-single-sculls-final-a.js,https://www.rio2016.com/en/rowing-womens-single-sculls-final-a
KAZ,canoe-sprint-mens-kayak-double-200m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-kayak-double-200m-final-a
GBR,athletics-womens-100m-hurdles-final.js,https://www.rio2016.com/en/athletics-womens-100m-hurdles-final
BLR,cycling-track-womens-omnium-points-race-6-6.js,https://www.rio2016.com/en/cycling-track-womens-omnium-points-race-6-6
ITA,rowing-mens-double-sculls-final-a.js,https://www.rio2016.com/en/rowing-mens-double-sculls-final-a
CHN,trampoline-gymnastics-womens-final-gt-2.js,https://www.rio2016.com/en/trampoline-gymnastics-womens-final-gt-2
ETH,athletics-womens-marathon.js,https://www.rio2016.com/en/athletics-womens-marathon
CUB,judo-men-100-kg-contest-for-bronze-medal-b-ju-2.js,https://www.rio2016.com/en/judo-men-100-kg-contest-for-bronze-medal-b-ju-2
EST,athletics-mens-decathlon-1500m-heat-2.js,https://www.rio2016.com/en/athletics-mens-decathlon-1500m-heat-2
USA,wrestling-mfs-125-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mfs-125-kg-bronze-wr-2
NZL,cycling-track-mens-team-pursuit-finals-bronze.js,https://www.rio2016.com/en/cycling-track-mens-team-pursuit-finals-bronze
LAT,weightlifting-womens-53kg-group-a.js,https://www.rio2016.com/en/weightlifting-womens-53kg-group-a
HUN,wrestling-mgr-85-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mgr-85-kg-bronze-wr-2
GER,athletics-womens-heptathlon-800m-heat-3.js,https://www.rio2016.com/en/athletics-womens-heptathlon-800m-heat-3
IND,artistic-gymnastics-womens-vault-final.js,https://www.rio2016.com/en/artistic-gymnastics-womens-vault-final
KOR,shooting-50m-pistol-mens-finals.js,https://www.rio2016.com/en/shooting-50m-pistol-mens-finals
ETH,athletics-mens-10-000m.js,https://www.rio2016.com/en/athletics-mens-10-000m
KOR,golf-womens-round-4.js,https://www.rio2016.com/en/golf-womens-round-4
FRA,artistic-gymnastics-womens-balance-beam-final.js,https://www.rio2016.com/en/artistic-gymnastics-womens-balance-beam-final
CMR,wrestling-wfs-75-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-wfs-75-kg-bronze-wr-2
CHN,swimming-womens-4-x-100m-medley-relay-final.js,https://www.rio2016.com/en/swimming-womens-4-x-100m-medley-relay-final
ECU,rowing-mens-single-sculls-final-a.js,https://www.rio2016.com/en/rowing-mens-single-sculls-final-a
EST,wrestling-mgr-130-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mgr-130-kg-bronze-wr-2
NZL,rowing-womens-single-sculls-final-a.js,https://www.rio2016.com/en/rowing-womens-single-sculls-final-a
CAN,golf-mens-round-4.js,https://www.rio2016.com/en/golf-mens-round-4
AUS,cycling-track-womens-team-sprint-finals-gold.js,https://www.rio2016.com/en/cycling-track-womens-team-sprint-finals-gold
CUB,wrestling-mfs-57-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mfs-57-kg-bronze-wr-2
USA,cycling-road-womens-road-race.js,https://www.rio2016.com/en/cycling-road-womens-road-race
CGO,athletics-mens-shot-put-final.js,https://www.rio2016.com/en/athletics-mens-shot-put-final
SLO,judo-men-66-kg-contest-for-bronze-medal-a.js,https://www.rio2016.com/en/judo-men-66-kg-contest-for-bronze-medal-a
ERI,athletics-mens-marathon.js,https://www.rio2016.com/en/athletics-mens-marathon
GBR,triathlon-women.js,https://www.rio2016.com/en/triathlon-women
RUS,artistic-gymnastics-mens-individual-all-around-final.js,https://www.rio2016.com/en/artistic-gymnastics-mens-individual-all-around-final
NED,equestrian-dressage-team-grand-prix-special.js,https://www.rio2016.com/en/equestrian-dressage-team-grand-prix-special
TPE,weightlifting-mens-56kg-group-a.js,https://www.rio2016.com/en/weightlifting-mens-56kg-group-a
RSA,swimming-mens-200m-butterfly-final.js,https://www.rio2016.com/en/swimming-mens-200m-butterfly-final
FRA,weightlifting-mens-94kg-group-a.js,https://www.rio2016.com/en/weightlifting-mens-94kg-group-a
UKR,canoe-sprint-womens-kayak-double-500m-final-a.js,https://www.rio2016.com/en/canoe-sprint-womens-kayak-double-500m-final-a
TUR,rowing-lwt-mens-double-sculls-final-a.js,https://www.rio2016.com/en/rowing-lwt-mens-double-sculls-final-a
GBR,athletics-mens-200m-final.js,https://www.rio2016.com/en/athletics-mens-200m-final
BUL,wrestling-mgr-85-kg-bronze.js,https://www.rio2016.com/en/wrestling-mgr-85-kg-bronze
POL,athletics-mens-pole-vault-final.js,https://www.rio2016.com/en/athletics-mens-pole-vault-final
CHN,athletics-mens-4-x-100m-relay-final.js,https://www.rio2016.com/en/athletics-mens-4-x-100m-relay-final
GER,shooting-50m-rifle-3-positions-mens-finals.js,https://www.rio2016.com/en/shooting-50m-rifle-3-positions-mens-finals
GER,diving-mens-synchronised-3m-springboard-final.js,https://www.rio2016.com/en/diving-mens-synchronised-3m-springboard-final
RUS,swimming-womens-200m-backstroke-final.js,https://www.rio2016.com/en/swimming-womens-200m-backstroke-final
TPE,taekwondo-women-67kg-bronze-medal-contests-tk-2.js,https://www.rio2016.com/en/taekwondo-women-67kg-bronze-medal-contests-tk-2
COL,weightlifting-womens-63kg-group-a.js,https://www.rio2016.com/en/weightlifting-womens-63kg-group-a
GBR,swimming-mens-200m-freestyle-final.js,https://www.rio2016.com/en/swimming-mens-200m-freestyle-final
CUB,canoe-sprint-womens-kayak-single-200m-final-a.js,https://www.rio2016.com/en/canoe-sprint-womens-kayak-single-200m-final-a
AZE,wrestling-wfs-58-kg-bronze.js,https://www.rio2016.com/en/wrestling-wfs-58-kg-bronze
AUS,athletics-womens-discus-throw-final.js,https://www.rio2016.com/en/athletics-womens-discus-throw-final
MEX,taekwondo-women-49kg-bronze-medal-contests-tk-2.js,https://www.rio2016.com/en/taekwondo-women-49kg-bronze-medal-contests-tk-2
UKR,canoe-sprint-womens-kayak-four-500m-final-a.js,https://www.rio2016.com/en/canoe-sprint-womens-kayak-four-500m-final-a
SAM,weightlifting-womens-75kg-group-a-wl-2.js,https://www.rio2016.com/en/weightlifting-womens-75kg-group-a-wl-2
GBR,artistic-gymnastics-mens-team-final.js,https://www.rio2016.com/en/artistic-gymnastics-mens-team-final
USA,artistic-gymnastics-mens-horizontal-bar-final.js,https://www.rio2016.com/en/artistic-gymnastics-mens-horizontal-bar-final
UZB,taekwondo-men-80kg-bronze-medal-contests-tk-4.js,https://www.rio2016.com/en/taekwondo-men-80kg-bronze-medal-contests-tk-4
BRA,judo-women-52-kg-contest-for-bronze-medal-a.js,https://www.rio2016.com/en/judo-women-52-kg-contest-for-bronze-medal-a
ESP,shooting-trap-womens-bronze-medal-match.js,https://www.rio2016.com/en/shooting-trap-womens-bronze-medal-match
EST,athletics-mens-discus-throw-final.js,https://www.rio2016.com/en/athletics-mens-discus-throw-final
RSA,triathlon-men.js,https://www.rio2016.com/en/triathlon-men
USA,taekwondo-men-80kg-bronze-medal-contests.js,https://www.rio2016.com/en/taekwondo-men-80kg-bronze-medal-contests
CHN,modern-pentathlon-womens-combined-running-shooting.js,https://www.rio2016.com/en/modern-pentathlon-womens-combined-running-shooting
CHN,marathon-swimming-womens-10km.js,https://www.rio2016.com/en/marathon-swimming-womens-10km
ESP,taekwondo-men-58kg-bronze-medal-contests.js,https://www.rio2016.com/en/taekwondo-men-58kg-bronze-medal-contests
CHN,judo-women-52-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-women-52-kg-contest-for-bronze-medal-b
BEL,taekwondo-men-68kg-bronze-medal-contests-tk-2.js,https://www.rio2016.com/en/taekwondo-men-68kg-bronze-medal-contests-tk-2
KOR,weightlifting-mens-85kg-group-a.js,https://www.rio2016.com/en/weightlifting-mens-85kg-group-a
CUB,judo-women-48-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-women-48-kg-contest-for-bronze-medal-b
UKR,fencing-mens-epee-team-bronze-medal-match.js,https://www.rio2016.com/en/fencing-mens-epee-team-bronze-medal-match
CHN,swimming-womens-100m-butterfly-final.js,https://www.rio2016.com/en/swimming-womens-100m-butterfly-final
UZB,canoe-sprint-mens-kayak-single-1000m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-kayak-single-1000m-final-a
GBR,swimming-mens-50m-freestyle-final.js,https://www.rio2016.com/en/swimming-mens-50m-freestyle-final
FRA,fencing-womens-epee-indiv-bronze-medal-bout.js,https://www.rio2016.com/en/fencing-womens-epee-indiv-bronze-medal-bout
KOR,wrestling-mgr-66-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mgr-66-kg-bronze-wr-2
JPN,artistic-gymnastics-womens-team-final.js,https://www.rio2016.com/en/artistic-gymnastics-womens-team-final
ITA,swimming-womens-200m-freestyle-final.js,https://www.rio2016.com/en/swimming-womens-200m-freestyle-final
CZE,shooting-trap-mens-bronze-medal-match.js,https://www.rio2016.com/en/shooting-trap-mens-bronze-medal-match
ECU,weightlifting-womens-58kg-group-a.js,https://www.rio2016.com/en/weightlifting-womens-58kg-group-a
RUS,fencing-womens-foil-indiv-bronze-medal-bout.js,https://www.rio2016.com/en/fencing-womens-foil-indiv-bronze-medal-bout
ROU,artistic-gymnastics-mens-vault-final.js,https://www.rio2016.com/en/artistic-gymnastics-mens-vault-final
RUS,diving-mens-3m-springboard-final.js,https://www.rio2016.com/en/diving-mens-3m-springboard-final
FRA,taekwondo-women-49kg-bronze-medal-contests.js,https://www.rio2016.com/en/taekwondo-women-49kg-bronze-medal-contests
FRA,diving-mens-10m-platform-final.js,https://www.rio2016.com/en/diving-mens-10m-platform-final
UKR,athletics-mens-high-jump-final.js,https://www.rio2016.com/en/athletics-mens-high-jump-final
KAZ,wrestling-mfs-74-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mfs-74-kg-bronze-wr-2
HUN,swimming-womens-400m-freestyle-final.js,https://www.rio2016.com/en/swimming-womens-400m-freestyle-final
IND,shooting-10m-air-rifle-mens-finals.js,https://www.rio2016.com/en/shooting-10m-air-rifle-mens-finals
CAN,equestrian-jumping-team-jump-off.js,https://www.rio2016.com/en/equestrian-jumping-team-jump-off
COL,weightlifting-womens-75kg-group-a-wl-2.js,https://www.rio2016.com/en/weightlifting-womens-75kg-group-a-wl-2
CUB,athletics-womens-heptathlon-800m-heat-3.js,https://www.rio2016.com/en/athletics-womens-heptathlon-800m-heat-3
TUR,judo-women-78-kg-contest-for-bronze-medal-a-ju-2.js,https://www.rio2016.com/en/judo-women-78-kg-contest-for-bronze-medal-a-ju-2
BLR,wrestling-wfs-75-kg-bronze.js,https://www.rio2016.com/en/wrestling-wfs-75-kg-bronze
SUI,fencing-mens-epee-individual-bronze-medal-bout.js,https://www.rio2016.com/en/fencing-mens-epee-individual-bronze-medal-bout
EGY,weightlifting-womens-75kg-group-a.js,https://www.rio2016.com/en/weightlifting-womens-75kg-group-a
CAN,wrestling-wfs-69-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-wfs-69-kg-bronze-wr-2
HUN,wrestling-mgr-75-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mgr-75-kg-bronze-wr-2
GER,cycling-track-mens-keirin-finals-1-6.js,https://www.rio2016.com/en/cycling-track-mens-keirin-finals-1-6
RUS,wrestling-wfs-63-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-wfs-63-kg-bronze-wr-2
BLR,rhythmic-gymnastics-individual-all-around-final-rotation-4.js,https://www.rio2016.com/en/rhythmic-gymnastics-individual-all-around-final-rotation-4
ESP,canoe-sprint-mens-canoe-single-200m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-canoe-single-200m-final-a
ITA,rhythmic-gymnastics-group-all-around-final-rotation-2.js,https://www.rio2016.com/en/rhythmic-gymnastics-group-all-around-final-rotation-2
DJI,athletics-mens-1500m-final.js,https://www.rio2016.com/en/athletics-mens-1500m-final
USA,swimming-womens-200m-individual-medley-final.js,https://www.rio2016.com/en/swimming-womens-200m-individual-medley-final
CHN,athletics-mens-triple-jump-final.js,https://www.rio2016.com/en/athletics-mens-triple-jump-final
USA,athletics-womens-triple-jump-final.js,https://www.rio2016.com/en/athletics-womens-triple-jump-final
USA,golf-womens-round-4.js,https://www.rio2016.com/en/golf-womens-round-4
MDA,canoe-sprint-mens-canoe-single-200m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-canoe-single-200m-final-a
GER,artistic-gymnastics-womens-uneven-bars-final.js,https://www.rio2016.com/en/artistic-gymnastics-womens-uneven-bars-final
USA,athletics-womens-1500m-final.js,https://www.rio2016.com/en/athletics-womens-1500m-final
GER,judo-women-78-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-women-78-kg-contest-for-bronze-medal-b
AUS,swimming-mens-100m-backstroke-final.js,https://www.rio2016.com/en/swimming-mens-100m-backstroke-final
CAN,athletics-womens-800m-final.js,https://www.rio2016.com/en/athletics-womens-800m-final
UKR,rowing-womens-quad-sculls-final-a.js,https://www.rio2016.com/en/rowing-womens-quad-sculls-final-a
JPN,swimming-mens-200m-individual-medley-final.js,https://www.rio2016.com/en/swimming-mens-200m-individual-medley-final
POL,sailing-rs-x-men-medal-race.js,https://www.rio2016.com/en/sailing-rs-x-men-medal-race
HUN,canoe-sprint-mens-kayak-double-200m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-kayak-double-200m-final-a
AUS,canoe-sprint-mens-kayak-four-1000m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-kayak-four-1000m-final-a
GER,diving-mens-synchronised-10m-platform-final.js,https://www.rio2016.com/en/diving-mens-synchronised-10m-platform-final
BRA,judo-women-63-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-women-63-kg-contest-for-bronze-medal-b
CHN,athletics-womens-shot-put-final.js,https://www.rio2016.com/en/athletics-womens-shot-put-final
BRA,sailing-rs-x-women-medal-race.js,https://www.rio2016.com/en/sailing-rs-x-women-medal-race
CIV,athletics-womens-100m-final.js,https://www.rio2016.com/en/athletics-womens-100m-final
USA,swimming-mens-100m-breaststroke-final.js,https://www.rio2016.com/en/swimming-mens-100m-breaststroke-final
FIN,weightlifting-womens-63kg-group-a.js,https://www.rio2016.com/en/weightlifting-womens-63kg-group-a
AUS,swimming-womens-100m-freestyle-final.js,https://www.rio2016.com/en/swimming-womens-100m-freestyle-final
GBR,cycling-track-mens-omnium-points-race-6-6.js,https://www.rio2016.com/en/cycling-track-mens-omnium-points-race-6-6
BUL,wrestling-mfs-57-kg-bronze.js,https://www.rio2016.com/en/wrestling-mfs-57-kg-bronze
NZL,cycling-track-womens-team-pursuit-finals-gold.js,https://www.rio2016.com/en/cycling-track-womens-team-pursuit-finals-gold
CZE,athletics-womens-heptathlon-800m-heat-3.js,https://www.rio2016.com/en/athletics-womens-heptathlon-800m-heat-3
USA,rowing-mens-eight-final-a.js,https://www.rio2016.com/en/rowing-mens-eight-final-a
KAZ,weightlifting-mens-85kg-group-a.js,https://www.rio2016.com/en/weightlifting-mens-85kg-group-a
ESP,golf-mens-round-4.js,https://www.rio2016.com/en/golf-mens-round-4
UKR,weightlifting-womens-58kg-group-a.js,https://www.rio2016.com/en/weightlifting-womens-58kg-group-a
DEN,canoe-sprint-womens-kayak-double-500m-final-a.js,https://www.rio2016.com/en/canoe-sprint-womens-kayak-double-500m-final-a
AZE,taekwondo-women-67kg-bronze-medal-contests.js,https://www.rio2016.com/en/taekwondo-women-67kg-bronze-medal-contests
BLR,modern-pentathlon-womens-combined-running-shooting.js,https://www.rio2016.com/en/modern-pentathlon-womens-combined-running-shooting
NZL,cycling-track-womens-team-pursuit-finals-bronze.js,https://www.rio2016.com/en/cycling-track-womens-team-pursuit-finals-bronze
THA,weightlifting-mens-77kg-group-a.js,https://www.rio2016.com/en/weightlifting-mens-77kg-group-a
RUS,rowing-mens-four-final-a.js,https://www.rio2016.com/en/rowing-mens-four-final-a
EGY,weightlifting-mens-105kg-group-a.js,https://www.rio2016.com/en/weightlifting-mens-105kg-group-a
GEO,weightlifting-womens-75kg-group-a.js,https://www.rio2016.com/en/weightlifting-womens-75kg-group-a
AUS,swimming-mens-4-x-200m-freestyle-relay-final.js,https://www.rio2016.com/en/swimming-mens-4-x-200m-freestyle-relay-final
CHN,shooting-skeet-womens-bronze-medal-match.js,https://www.rio2016.com/en/shooting-skeet-womens-bronze-medal-match
ARG,wrestling-wfs-48-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-wfs-48-kg-bronze-wr-2
NED,swimming-womens-4-x-100m-freestyle-relay-final.js,https://www.rio2016.com/en/swimming-womens-4-x-100m-freestyle-relay-final
MNE,water-polo-mens-bronze-medal-match-wp-2.js,https://www.rio2016.com/en/water-polo-mens-bronze-medal-match-wp-2
MGL,wrestling-mfs-65-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mfs-65-kg-bronze-wr-2
PRK,diving-womens-synchronised-10m-platform-final.js,https://www.rio2016.com/en/diving-womens-synchronised-10m-platform-final
CZE,canoe-slalom-canoe-single-c1-men-final.js,https://www.rio2016.com/en/canoe-slalom-canoe-single-c1-men-final
NZL,cycling-track-womens-omnium-points-race-6-6.js,https://www.rio2016.com/en/cycling-track-womens-omnium-points-race-6-6
TPE,judo-women-57-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-women-57-kg-contest-for-bronze-medal-b
CAN,diving-womens-3m-springboard-final.js,https://www.rio2016.com/en/diving-womens-3m-springboard-final
AUS,cycling-track-womens-team-sprint-finals-bronze.js,https://www.rio2016.com/en/cycling-track-womens-team-sprint-finals-bronze
MGL,judo-men-90-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-men-90-kg-contest-for-bronze-medal-b
THA,weightlifting-mens-94kg-group-a.js,https://www.rio2016.com/en/weightlifting-mens-94kg-group-a
GER,canoe-slalom-canoe-double-c2-men-final.js,https://www.rio2016.com/en/canoe-slalom-canoe-double-c2-men-final
USA,sailing-470-men-medal-race.js,https://www.rio2016.com/en/sailing-470-men-medal-race
KOR,judo-women-78-kg-contest-for-bronze-medal-b-ju-2.js,https://www.rio2016.com/en/judo-women-78-kg-contest-for-bronze-medal-b-ju-2
LAT,athletics-womens-heptathlon-800m-heat-3.js,https://www.rio2016.com/en/athletics-womens-heptathlon-800m-heat-3
ROU,wrestling-mgr-98-kg-bronze.js,https://www.rio2016.com/en/wrestling-mgr-98-kg-bronze
NZL,sailing-finn-men-medal-race.js,https://www.rio2016.com/en/sailing-finn-men-medal-race
HKG,rowing-lwt-womens-double-sculls-final-a.js,https://www.rio2016.com/en/rowing-lwt-womens-double-sculls-final-a
USA,wrestling-wfs-63-kg-bronze.js,https://www.rio2016.com/en/wrestling-wfs-63-kg-bronze
GER,judo-men-100-kg-contest-for-bronze-medal-a.js,https://www.rio2016.com/en/judo-men-100-kg-contest-for-bronze-medal-a
AUS,athletics-womens-pole-vault-final.js,https://www.rio2016.com/en/athletics-womens-pole-vault-final
